1,1,0.0016638935108153079,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
389,1,0.6472545757071547,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
389,2,0.6472545757071547,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
390,1,0.64891846921797,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
390,2,0.64891846921797,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
391,1,0.6505823627287853,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
391,2,0.6505823627287853,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
392,1,0.6522462562396006,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for peace mission, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
392,2,0.6522462562396006,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Just people from the EU, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
393,1,0.653910149750416,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs legal])
393,2,0.653910149750416,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: No army, Immigration policy: Just refugees, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
394,1,0.6555740432612313,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
394,2,0.6555740432612313,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
395,1,0.6572379367720466,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
395,2,0.6572379367720466,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
396,1,0.6589018302828619,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs tolerated])
396,2,0.6589018302828619,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
397,1,0.6605657237936772,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Just people from the EU, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
397,2,0.6605657237936772,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
398,1,0.6622296173044925,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
398,2,0.6622296173044925,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
399,1,0.6638935108153078,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
399,2,0.6638935108153078,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
400,1,0.6655574043261231,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
400,2,0.6655574043261231,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
401,1,0.6672212978369384,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for peace mission, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
401,2,0.6672212978369384,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
402,1,0.6688851913477537,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
402,2,0.6688851913477537,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs tolerated])
403,1,0.670549084858569,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs legal])
403,2,0.670549084858569,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
404,1,0.6722129783693843,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
